Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
AAOI,Applied Optoelect,6.11,0.43,+7.57%,6.23,5.61,990600,03/13/20,Technology
AAON,Aaon Inc,52.1,10.83,+26.24%,52.74,41.99,591800,03/13/20,Industrials
AAT,American Assets Trust,33.67,3.25,+10.68%,34.09,29.96,672600,03/13/20,Real Estate
AAWW,Atlas Air Ww,17.9,1.48,+9.05%,18.17,14.97,1518700,03/13/20,Industrials
ABCB,Ameris Bancorp,25.69,1.6,+6.64%,26.54,23.01,1127800,03/13/20,Financial Services
ABG,Asbury Automotive Group Inc,55.11,-3.59,-6.12%,61.84,52.95,317300,03/13/20,Consumer Cyclical
ABM,ABM Industries Incorporated,27.28,3.11,+12.87%,27.29,24.66,613300,03/13/20,Industrials
ABTX,Allegiance Banc CS,26.52,2.07,+8.47%,26.84,24.83,157400,03/13/20,Financial Services
ACA,Arcosa Inc,37.18,4.25,+12.91%,37.18,34.02,445000,03/13/20,Industrials
ACLS,Axcelis Tech Inc,20.21,1.14,+5.98%,20.36,18.49,486400,03/13/20,Technology
ACOR,Acorda Therapeutics,0.87,0.02,+2.35%,0.95,0.77,1103700,03/13/20,Healthcare
ADC,Agree Realty Corp,72.79,5.09,+7.52%,73.0,68.36,1007700,03/13/20,Real Estate
ADTN,Adtran Inc,6.39,0.11,+1.67%,6.67,5.99,354300,03/13/20,Technology
ADUS,Addus Homecare Corp,64.8,3.97,+6.53%,65.1,56.99,171500,03/13/20,Healthcare
AEGN,Aegion Corp,15.58,1.0,+6.86%,15.83,14.87,228000,03/13/20,Industrials
AEIS,Advanced Energy,46.24,2.64,+6.06%,47.14,41.31,521300,03/13/20,Technology
AEL,American Equity Investment Life,19.24,2.58,+15.49%,19.27,16.68,1151700,03/13/20,Financial Services
AGYS,Agilysys Inc,20.46,-0.38,-1.82%,22.05,18.9,537300,03/13/20,Technology
AHH,Armada Hoffler Properties Inc,12.77,1.06,+9.05%,12.79,11.4,542900,03/13/20,Real Estate
AIN,Albany International Corp,44.11,-1.38,-3.03%,48.17,42.96,632300,03/13/20,Consumer Cyclical
AIR,AAR Corp,19.0,-3.09,-13.99%,23.83,18.77,589600,03/13/20,Industrials
AIT,Applied Industrial Technologies,44.87,2.56,+6.05%,44.87,40.85,294900,03/13/20,Industrials
AJRD,Aerojet Rocketdyne Holdings,43.25,5.14,+13.49%,43.35,39.05,781700,03/13/20,Industrials
AKR,Acadia Realty Trust,19.19,0.44,+2.35%,20.12,17.6,2301400,03/13/20,Real Estate
AKRX,Akorn Inc,0.65,0.05,+8.37%,0.68,0.55,2408800,03/13/20,Healthcare
AKS,AK Steel Holding Corp,1.55,0.0,0.00%,1.55,1.55,1000,03/13/20,Basic Materials
ALEX,Alexander and Baldwin Inc,13.44,0.74,+5.83%,13.7,12.32,1061500,03/13/20,Real Estate
ALG,Alamo Group,99.43,5.64,+6.01%,100.26,94.28,60700,03/13/20,Industrials
ALGT,Allegiant Travel Com,113.31,10.76,+10.49%,113.43,102.07,372700,03/13/20,Industrials
ALRM,Alarm.com,36.49,0.67,+1.87%,37.23,34.15,1016400,03/13/20,Technology
AMAG,Amag Pharmaceuticals,5.98,0.22,+3.82%,6.19,5.58,1078900,03/13/20,Healthcare
AMBC,Ambac Financial Group,15.75,1.07,+7.29%,15.75,14.45,336200,03/13/20,Financial Services
AMN,Amn Healthcare Services Inc,74.48,8.9,+13.57%,74.58,65.0,815600,03/13/20,Healthcare
